0,성별,;0=남성 1=여성 2=여성(후타) 3=남성(후타) 4=오토코노코 5=오오토코노코(후타)
1,처녀,;0=비처녀 1=처녀 2=무자각비처녀
2,동정,;0=비동정 1=동정 2=무자각비동정
3,키스미경험,;퍼스트 키스가 끝나지 않은 상태
4,애널처녀,;0=비처녀 1=처녀 2=무자각 애널비처녀
10,겁쟁이,; 상반) 꿋꿋함, 감정결핍, 해방
11,반항적,; 상반) 솔직함
12,꿋꿋함,; 상반) 겁쟁이
13,솔직함,; 상반) 반항적, 츤데레, 고고함
14,얌전함,;
15,프라이드높음,; 상반) 프라이드낮음
; 거만함: 솔직함을 가진다면 확률 저하
16,거만함,; 상반) 감정결핍, 억압
17,프라이드낮음,; 상반) 프라이드높음
; 츤데레: 반항적을 가진다면 확률 증가, 상반) 솔직함, 해방
18,츤데레,;연모비연인 때 항상 로·액이 높은 상태에. 상대로부터의 고백 조건이 어려운 눈. 쓰러트리기 조건이 느슨한. 일부 지문이 변화

20,자제심,; 상반) 해방, 쾌감에솔직
21,무관심,; 상반) 호기심, 주목받기원함
22,감정결핍,; 상반) 겁쟁이, 거만함, 호기심, 주목받기원함, 수줍음, 해방
23,호기심,; 상반) 보수적, 무관심, 감정결핍, 억압
24,보수적,; 상반) 호기심, 해방
25,낙관적,; 상반) 비관적, 억압
26,비관적,; 상반) 낙관적, 해방
27,선을넘지않음,; 상반) 해방
28,주목받기원함,; 상반) 무관심, 감정결핍, 억압

30,정조관념,; 상반) 정조관념없음, 해방
31,정조관념없음,; 상반) 정조관념
; 억압 상반) 해방, 거만함, 호기심, 낙관적, 주목받기원함, 쾌감에솔직
32,억압,;회화의 실패율이 이상하게 높다. 호감도·종속도·욕정· 각 감정이 변동 하기 어렵다. 각 감정이 자동적으로 제로 방향에 변동. 의존도가 오르기 쉽다. 의존도에 응해 완화
33,해방,; 상반) 억압, 겁쟁이, 츤데레, 자제심, 감정결핍, 보수적, 비관적, 선을넘지않음, 정조관념, 고고함, 수줍음, 쾌감을부정
; 고고함 상반) 솔직함, 해방
34,고고함,;회화의 실패율이 이상하게 높다. 실행 판정이 매우 어렵다. 호감도·종속도가 오르기 힘들다. 의존도가 오르기 쉽다. 의존도에 응해 완화
; 주목받기원함을 가진다면 수치심옅음 확률 증가
35,수줍음,; 상반) 수치심옅음, 감정결핍, 해방
36,수치심옅음,; 상반) 수줍음
37,농땡이마왕,;각종 훈련·순찰 따위가 실행하기 어렵다. 술이나 데이트 신청하기 쉬워진다
;38,강철의자제심,;상대가 이성의 경우, 호감도·의존도·종속도가 오르기 어려워진다
39,광기,;호감도·의존도·종속도·지배도가 오르기 어렵고, 상대의 호감도·의존도·종속도도 오르기 어려워진다
40,아픔에약함,; 상반) 아픔에강함
41,아픔에강함,; 상반) 아픔에약함
42,젖기쉬움,; 상반) 젖기어려움
43,젖기어려움,; 상반) 젖기쉬움

50,습득빠름,; 상반) 습득느림
51,습득느림,; 상반) 습득빠름
52,혀놀림,;페라계 조교의 효과가 높다
57,오줌싸개,;방뇨 커맨드를 항상 사용할 수 있게 된다. 절정시에 방뇨
;58,말주변없음,;상대의 호감도·의존도·종속도가 오르기 힘들어지지만, 지배도가 오르기 쉬워진다

60,자위하기쉬움,;
61,악취둔감,; 상반) 악취민감
62,악취민감,; 상반) 악취민감
63,헌신적,;
64,불결무시,;

70,쾌감에솔직,; 상반) 쾌감을부정, 억압, 자제심
71,쾌감을부정,; 상반) 쾌감에솔직, 해방
72,중독하기쉽다,;

80,도착적,;
81,바이,; (여성은 조금 확률 높여, 오토코노코는 극단적으로 확률이 높다)
82,남성혐오,; 이성 한정, 상반) 여성혐오
83,여성혐오,; 이성 한정, 상반) 남성혐오
84,Ｓ기질,; 상반) Ｍ기질
85,Ｍ기질,; 상반) Ｓ기질
86,소악마,; (여성·오토코노코는 확률 높은)
87,매혹,;
88,수수께끼의매력,;
89,인기,;
;90,인간혐오,;

101,Ｃ둔감,;
102,Ｃ민감,;
103,Ｖ둔감,;
104,Ｖ민감,;
105,Ａ둔감,;
106,Ａ민감,;
107,Ｂ둔감,;
108,Ｂ민감,;
109,Ｍ둔감,;
110,Ｍ민감,;
111,회복빠름,;조교중의 기절으로의 회복이나 체력 회복이 빠르다
112,회복느림,;조교중의 기절으로의 회복이나 체력 회복이 늦다
113,각선미,; 성별 남자(0) 아님
114,예쁜엉덩이,; 성별 남자(0) 아님
115,풍만한엉덩이,;

130,모유체질,;분유 한다
131,유아,;
132,유치,;
134,폭주가,; 상반) 술못함
135,절륜,;사정·절정시의 체력·기력 소비가 1/10가 된다. 사정량의 레벨이 1단계 오른다
; 술못함 상반) 폭주가
136,술못함,;음주시의 취기의들이 상태가 크다

137,선생,
138,학생,

;142,큰몸집,;
;143,장신,;
144,소인체형,;
145,아이체형,;
146,동물귀,;
147,꼬리,;
148,더러운아저씨,;몇 번이나 절정 시키지 않으면 호감도가 오르지 않는 종족

;●150～199 후천성의 소질
150,연모,;주인공에게 연정을 안고 있다
151,친구,;동성 또한 바이가 아닌 경우에 연모 대신에 취득
152,친애,;연모 상위. 주인공을 마음속으로부터 사랑하고 있다
153,연인,;고백에 성공한 상태

154,복종,;주인공에게 의존해 버려 거역할 수 없다
155,예속,;복종 상위. 몸도 마음도 주인공의 완벽한 노예에게
156,낙인,;영원히 주인의 것이 된 노예의 증거

157,붕괴,;심이 망가져 버린 상태
158,공허,;심이 몹시 피폐 한 상태

160,합의,;네쵸 있고 일을 해도 좋아, 라고 인정한 상태
