番号,106
名前,후부키
呼び名,후부키

CSTR,0,네무가키
CSTR,1,후부키
CSTR,3,후부키
CSTR,4,후부키
CSTR,5,네무가키
CSTR,6,후부키
CSTR,7,후부키
CSTR,8,인간
CSTR,99,후부키

基礎,체력,1800
基礎,기력,2000
基礎,정신력,2200

素質,성별,1
素質,성장형,2
基礎,신장,1480 ;mm
; 체격,-2 = 여(1100 ~ 1299) 남(1200 ~ 1399) 신장
; 체격,-1 = 여(1300 ~ 1499) 남(1400 ~ 1599)
; 체격,0  = 여(1500 ~ 1699) 남(1600 ~ 1799)
; 체격,1  = 여(1700 ~ 1799) 남(1800 ~ 1949)
; 체격,2  = 여(1800 ~ 1999) 남(1950 ~ 2149)
; 체격,3  =   (3000 ~ 3999)
素質,체격,-1
素質,체형,-1
素質,가슴크기,-1
素質,엉덩이크기,-1
素質,머리길이,4
素質,머리색,0x000052

素質,처녀,1
素質,애널처녀,1
素質,키스미경험,1
素質,음모현재치,0
素質,음모목표치,0
素質,겨드랑이털현재치,0
素質,겨드랑이털목표치,0
素質,Ｖ조임,950
素質,Ａ조임,950
素質,성적기호,4
素質,학생,1

素質,낙관적,1
素質,수치심옅음,1
素質,쾌감에솔직,1
素質,농땡이마왕,1

能力,무투,60
能力,방위,53
能力,지략,57
能力,정치,35
能力,가창,24
能力,요리,31
能力,야심,11
能力,성지식,3
能力,Ｃ감,0
能力,Ｂ감,0
能力,Ｖ감,0
能力,Ａ감,0
能力,Ｍ감,0
能力,욕망,0
能力,성기술,0
能力,봉사,0
能力,노출,0
能力,새드,0
能力,마조,0
能力,주량,2

相性,104,150
相性,105,150
